country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Nigeria,Africa,1952,36.324,33119096,1077.282,NGA,566
Reunion,Africa,1952,52.724,257700,2718.885,REU,638
Rwanda,Africa,1952,40.0,2534927,493.324,RWA,646
Sao Tome and Principe,Africa,1952,46.471,60011,879.584,STP,678
Senegal,Africa,1952,37.278,2755589,1450.357,SEN,686
Sierra Leone,Africa,1952,30.331,2143249,879.788,SLE,694
Somalia,Africa,1952,32.978,2526994,1135.75,SOM,706
South Africa,Africa,1952,45.009,14264935,4725.296,ZAF,710
Sudan,Africa,1952,38.635,8504667,1615.991,SDN,736
Swaziland,Africa,1952,41.407,290243,1148.377,SWZ,748
Tanzania,Africa,1952,41.215,8322925,716.65,TZA,834
Togo,Africa,1952,38.596,1219113,859.809,TGO,768
Tunisia,Africa,1952,44.6,3647735,1468.476,TUN,788
Uganda,Africa,1952,39.978,5824797,734.753,UGA,800
Zambia,Africa,1952,42.038,2672000,1147.389,ZMB,894
Zimbabwe,Africa,1952,48.451,3080907,406.884,ZWE,716
Argentina,Americas,1952,62.485,17876956,5911.315,ARG,32
Bolivia,Americas,1952,40.414,2883315,2677.326,BOL,68
Brazil,Americas,1952,50.917,56602560,2108.944,BRA,76
Canada,Americas,1952,68.75,14785584,11367.161,CAN,124
Chile,Americas,1952,54.745,6377619,3939.979,CHL,152
Colombia,Americas,1952,50.643,12350771,2144.115,COL,170
Costa Rica,Americas,1952,57.206,926317,2627.009,CRI,188
Cuba,Americas,1952,59.421,6007797,5586.539,CUB,192
Dominican Republic,Americas,1952,45.928,2491346,1397.717,DOM,214
Ecuador,Americas,1952,48.357,3548753,3522.111,ECU,218
El Salvador,Americas,1952,45.262,2042865,3048.303,SLV,222
Guatemala,Americas,1952,42.023,3146381,2428.238,GTM,320
Haiti,Americas,1952,37.579,3201488,1840.367,HTI,332
Honduras,Americas,1952,41.912,1517453,2194.926,HND,340
Jamaica,Americas,1952,58.53,1426095,2898.531,JAM,388
Mexico,Americas,1952,50.789,30144317,3478.126,MEX,484
Nicaragua,Americas,1952,42.314,1165790,3112.364,NIC,558
Panama,Americas,1952,55.191,940080,2480.38,PAN,591
Paraguay,Americas,1952,62.649,1555876,1952.309,PRY,600
Peru,Americas,1952,43.902,8025700,3758.523,PER,604
Puerto Rico,Americas,1952,64.28,2227000,3081.96,PRI,630
Trinidad and Tobago,Americas,1952,59.1,662850,3023.272,TTO,780
United States,Americas,1952,68.44,157553000,13990.482,USA,840
Uruguay,Americas,1952,66.071,2252965,5716.767,URY,858
Venezuela,Americas,1952,55.088,5439568,7689.8,VEN,862
Afghanistan,Asia,1952,28.801,8425333,779.445,AFG,4
Bahrain,Asia,1952,50.939,120447,9867.085,BHR,48
Bangladesh,Asia,1952,37.484,46886859,684.244,BGD,50
Cambodia,Asia,1952,39.417,4693836,368.469,KHM,116
China,Asia,1952,44.0,556263527,400.449,CHN,156
"Hong Kong, China",Asia,1952,60.96,2125900,3054.421,HKG,344
India,Asia,1952,37.373,372000000,546.566,IND,356
Indonesia,Asia,1952,37.468,82052000,749.682,IDN,360
Iran,Asia,1952,44.869,17272000,3035.326,IRN,364
Iraq,Asia,1952,45.32,5441766,4129.766,IRQ,368
Israel,Asia,1952,65.39,1620914,4086.522,ISR,376
Japan,Asia,1952,63.03,86459025,3216.956,JPN,392
Jordan,Asia,1952,43.158,607914,1546.908,JOR,400
"Korea, Dem. Rep.",Asia,1952,50.056,8865488,1088.278,KOR,410
"Korea, Rep.",Asia,1952,47.453,20947571,1030.592,KOR,410
Kuwait,Asia,1952,55.565,160000,108382.353,KWT,414
Lebanon,Asia,1952,55.928,1439529,4834.804,LBN,422
Malaysia,Asia,1952,48.463,6748378,1831.133,MYS,458
Mongolia,Asia,1952,42.244,800663,786.567,MNG,496
Myanmar,Asia,1952,36.319,20092996,331.0,MMR,104
Nepal,Asia,1952,36.157,9182536,545.866,NPL,524
Oman,Asia,1952,37.578,507833,1828.23,OMN,512
Pakistan,Asia,1952,43.436,41346560,684.597,PAK,586
Philippines,Asia,1952,47.752,22438691,1272.881,PHL,608
Saudi Arabia,Asia,1952,39.875,4005677,6459.555,SAU,682
Singapore,Asia,1952,60.396,1127000,2315.138,SGP,702
Sri Lanka,Asia,1952,57.593,7982342,1083.532,LKA,144
Syria,Asia,1952,45.883,3661549,1643.485,SYR,760
Taiwan,Asia,1952,58.5,8550362,1206.948,TWN,158
Thailand,Asia,1952,50.848,21289402,757.797,THA,764
Vietnam,Asia,1952,40.412,26246839,605.066,VNM,704
West Bank and Gaza,Asia,1952,43.16,1030585,1515.592,PSE,275
"Yemen, Rep.",Asia,1952,32.548,4963829,781.718,YEM,887
Albania,Europe,1952,55.23,1282697,1601.056,ALB,8
Austria,Europe,1952,66.8,6927772,6137.076,AUT,40
Belgium,Europe,1952,68.0,8730405,8343.105,BEL,56
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.533,BIH,70
Bulgaria,Europe,1952,59.6,7274900,2444.287,BGR,100
Croatia,Europe,1952,61.21,3882229,3119.237,HRV,191
Czech Republic,Europe,1952,66.87,9125183,6876.14,CZE,203
Denmark,Europe,1952,70.78,4334000,9692.385,DNK,208
Finland,Europe,1952,66.55,4090500,6424.519,FIN,246
France,Europe,1952,67.41,42459667,7029.809,FRA,250
Germany,Europe,1952,67.5,69145952,7144.114,DEU,276
Greece,Europe,1952,65.86,7733250,3530.69,GRC,300
Hungary,Europe,1952,64.03,9504000,5263.674,HUN,348
Iceland,Europe,1952,72.49,147962,7267.688,ISL,352
Ireland,Europe,1952,66.91,2952156,5210.28,IRL,372
Italy,Europe,1952,65.94,47666000,4931.404,ITA,380
Montenegro,Europe,1952,59.164,413834,2647.586,MNE,499
Netherlands,Europe,1952,72.13,10381988,8941.572,NLD,528
Norway,Europe,1952,72.67,3327728,10095.422,NOR,578
Poland,Europe,1952,61.31,25730551,4029.33,POL,616
Portugal,Europe,1952,59.82,8526050,3068.32,PRT,620
Romania,Europe,1952,61.05,16630000,3144.613,ROU,642
Serbia,Europe,1952,57.996,6860147,3581.459,SRB,688
Slovak Republic,Europe,1952,64.36,3558137,5074.659,SVK,703
Slovenia,Europe,1952,65.57,1489518,4215.042,SVN,705
Spain,Europe,1952,64.94,28549870,3834.035,ESP,724
Sweden,Europe,1952,71.86,7124673,8527.845,SWE,752
Switzerland,Europe,1952,69.62,4815000,14734.233,CHE,756
Turkey,Europe,1952,43.585,22235677,1969.101,TUR,792
United Kingdom,Europe,1952,69.18,50430000,9979.508,GBR,826
Australia,Oceania,1952,69.12,8691212,10039.596,AUS,36
New Zealand,Oceania,1952,69.39,1994794,10556.576,NZL,554
Algeria,Africa,1957,45.685,10270856,3013.976,DZA,12
Angola,Africa,1957,31.999,4561361,3827.94,AGO,24
Benin,Africa,1957,40.358,1925173,959.601,BEN,204
Botswana,Africa,1957,49.618,474639,918.233,BWA,72
Burkina Faso,Africa,1957,34.906,4713416,617.183,BFA,854
Burundi,Africa,1957,40.533,2667518,379.565,BDI,108
Cameroon,Africa,1957,40.428,5359923,1313.048,CMR,120
Central African Republic,Africa,1957,37.464,1392284,1190.844,CAF,140
Chad,Africa,1957,39.881,2894855,1308.496,TCD,148
Comoros,Africa,1957,42.46,170928,1211.149,COM,174
"Congo, Dem. Rep.",Africa,1957,40.652,15577932,905.86,COD,180
"Congo, Rep.",Africa,1957,45.053,940458,2315.057,COG,178
Cote d'Ivoire,Africa,1957,42.469,3300000,1500.896,CIV,384
Djibouti,Africa,1957,37.328,71851,2864.969,DJI,262
Egypt,Africa,1957,44.444,25009741,1458.915,EGY,818
Equatorial Guinea,Africa,1957,35.983,232922,426.096,GNQ,226
Eritrea,Africa,1957,38.047,1542611,344.162,ERI,232
Ethiopia,Africa,1957,36.667,22815614,378.904,ETH,231
Gabon,Africa,1957,38.999,434904,4976.198,GAB,266
Gambia,Africa,1957,32.065,323150,520.927,GMB,270
Ghana,Africa,1957,44.779,6391288,1043.562,GHA,288
Guinea,Africa,1957,34.558,2876726,576.267,GIN,324
Guinea-Bissau,Africa,1957,33.489,601095,431.79,GNB,624
Kenya,Africa,1957,44.686,7454779,944.438,KEN,404
Lesotho,Africa,1957,45.047,813338,335.997,LSO,426
Liberia,Africa,1957,39.486,975950,620.97,LBR,430
Libya,Africa,1957,45.289,1201578,3448.284,LBY,434
Madagascar,Africa,1957,38.865,5181679,1589.203,MDG,450
Malawi,Africa,1957,37.207,3221238,416.37,MWI,454
Mali,Africa,1957,35.307,4241884,490.382,MLI,466
Mauritania,Africa,1957,42.338,1076852,846.12,MRT,478
Mauritius,Africa,1957,58.089,609816,2034.038,MUS,480
Morocco,Africa,1957,45.423,11406350,1642.002,MAR,504
Mozambique,Africa,1957,33.779,7038035,495.587,MOZ,508
Namibia,Africa,1957,45.226,548080,2621.448,NAM,516
Niger,Africa,1957,38.598,3692184,835.523,NER,562
Nigeria,Africa,1957,37.802,37173340,1100.593,NGA,566
Reunion,Africa,1957,55.09,308700,2769.452,REU,638
Rwanda,Africa,1957,41.5,2822082,540.289,RWA,646
Sao Tome and Principe,Africa,1957,48.945,61325,860.737,STP,678
Senegal,Africa,1957,39.329,3054547,1567.653,SEN,686
Sierra Leone,Africa,1957,31.57,2295678,1004.484,SLE,694
Somalia,Africa,1957,34.977,2780415,1258.147,SOM,706
South Africa,Africa,1957,47.985,16151549,5487.104,ZAF,710
Sudan,Africa,1957,39.624,9753392,1770.337,SDN,736
Swaziland,Africa,1957,43.424,326741,1244.708,SWZ,748
Tanzania,Africa,1957,42.974,9452826,698.536,TZA,834
Togo,Africa,1957,41.208,1357445,925.908,TGO,768
Tunisia,Africa,1957,47.1,3950849,1395.232,TUN,788
Uganda,Africa,1957,42.571,6675501,774.371,UGA,800
Zambia,Africa,1957,44.077,3016000,1311.957,ZMB,894
Zimbabwe,Africa,1957,50.469,3646340,518.764,ZWE,716
Argentina,Americas,1957,64.399,19610538,6856.856,ARG,32
Bolivia,Americas,1957,41.89,3211738,2127.686,BOL,68
Brazil,Americas,1957,53.285,65551171,2487.366,BRA,76
Canada,Americas,1957,69.96,17010154,12489.95,CAN,124
Chile,Americas,1957,56.074,7048426,4315.623,CHL,152
Colombia,Americas,1957,55.118,14485993,2323.806,COL,170
Costa Rica,Americas,1957,60.026,1112300,2990.011,CRI,188
Cuba,Americas,1957,62.325,6640752,6092.174,CUB,192
Dominican Republic,Americas,1957,49.828,2923186,1544.403,DOM,214
Ecuador,Americas,1957,51.356,4058385,3780.547,ECU,218
El Salvador,Americas,1957,48.57,2355805,3421.523,SLV,222
Guatemala,Americas,1957,44.142,3640876,2617.156,GTM,320
Haiti,Americas,1957,40.696,3507701,1726.888,HTI,332
Honduras,Americas,1957,44.665,1770390,2220.488,HND,340
Jamaica,Americas,1957,62.61,1535090,4756.526,JAM,388
Mexico,Americas,1957,55.19,35015548,4131.547,MEX,484
Nicaragua,Americas,1957,45.432,1358828,3457.416,NIC,558
Panama,Americas,1957,59.201,1063506,2961.801,PAN,591
Paraguay,Americas,1957,63.196,1770902,2046.155,PRY,600
Peru,Americas,1957,46.263,9146100,4245.257,PER,604
Puerto Rico,Americas,1957,68.54,2260000,3907.156,PRI,630
Trinidad and Tobago,Americas,1957,61.8,764900,4100.393,TTO,780
United States,Americas,1957,69.49,171984000,14847.127,USA,840
Uruguay,Americas,1957,67.044,2424959,6150.773,URY,858
Venezuela,Americas,1957,57.907,6702668,9802.467,VEN,862
Afghanistan,Asia,1957,30.332,9240934,820.853,AFG,4
Bahrain,Asia,1957,53.832,138655,11635.799,BHR,48
Bangladesh,Asia,1957,39.348,51365468,661.637,BGD,50
Cambodia,Asia,1957,41.366,5322536,434.038,KHM,116
China,Asia,1957,50.549,637408000,575.987,CHN,156
"Hong Kong, China",Asia,1957,64.75,2736300,3629.076,HKG,344
India,Asia,1957,40.249,409000000,590.062,IND,356
Indonesia,Asia,1957,39.918,90124000,858.9,IDN,360
Iran,Asia,1957,47.181,19792000,3290.258,IRN,364
Iraq,Asia,1957,48.437,6248643,6229.334,IRQ,368
Israel,Asia,1957,67.84,1944401,5385.278,ISR,376
Japan,Asia,1957,65.5,91563009,4317.694,JPN,392
Jordan,Asia,1957,45.669,746559,1886.081,JOR,400
"Korea, Dem. Rep.",Asia,1957,54.081,9411381,1571.135,KOR,410
"Korea, Rep.",Asia,1957,52.681,22611552,1487.594,KOR,410
Kuwait,Asia,1957,58.033,212846,113523.133,KWT,414
Lebanon,Asia,1957,59.489,1647412,6089.787,LBN,422
Malaysia,Asia,1957,52.102,7739235,1810.067,MYS,458
Mongolia,Asia,1957,45.248,882134,912.663,MNG,496
Myanmar,Asia,1957,41.905,21731844,350.0,MMR,104
Nepal,Asia,1957,37.686,9682338,597.936,NPL,524
Oman,Asia,1957,40.08,561977,2242.747,OMN,512
Pakistan,Asia,1957,45.557,46679944,747.084,PAK,586
Philippines,Asia,1957,51.334,26072194,1547.945,PHL,608
Saudi Arabia,Asia,1957,42.868,4419650,8157.591,SAU,682
Singapore,Asia,1957,63.179,1445929,2843.104,SGP,702
Sri Lanka,Asia,1957,61.456,9128546,1072.547,LKA,144
Syria,Asia,1957,48.284,4149908,2117.235,SYR,760
Taiwan,Asia,1957,62.4,10164215,1507.861,TWN,158
Thailand,Asia,1957,53.63,25041917,793.577,THA,764
Vietnam,Asia,1957,42.887,28998543,676.285,VNM,704
West Bank and Gaza,Asia,1957,45.671,1070439,1827.068,PSE,275
"Yemen, Rep.",Asia,1957,33.97,5498090,804.83,YEM,887
Albania,Europe,1957,59.28,1476505,1942.284,ALB,8
Austria,Europe,1957,67.48,6965860,8842.598,AUT,40
Belgium,Europe,1957,69.24,8989111,9714.961,BEL,56
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989,BIH,70
Bulgaria,Europe,1957,66.61,7651254,3008.671,BGR,100
Croatia,Europe,1957,64.77,3991242,4338.232,HRV,191
Czech Republic,Europe,1957,69.03,9513758,8256.344,CZE,203
Denmark,Europe,1957,71.81,4487831,11099.659,DNK,208
Finland,Europe,1957,67.49,4324000,7545.415,FIN,246
France,Europe,1957,68.93,44310863,8662.835,FRA,250
Germany,Europe,1957,69.1,71019069,10187.827,DEU,276
Greece,Europe,1957,67.86,8096218,4916.3,GRC,300
Hungary,Europe,1957,66.41,9839000,6040.18,HUN,348
Iceland,Europe,1957,73.47,165110,9244.001,ISL,352
Ireland,Europe,1957,68.9,2878220,5599.078,IRL,372
Italy,Europe,1957,67.81,49182000,6248.656,ITA,380
Montenegro,Europe,1957,61.448,442829,3682.26,MNE,499
Netherlands,Europe,1957,72.99,11026383,11276.193,NLD,528
Norway,Europe,1957,73.44,3491938,11653.973,NOR,578
Poland,Europe,1957,65.77,28235346,4734.253,POL,616
Portugal,Europe,1957,61.51,8817650,3774.572,PRT,620
Romania,Europe,1957,64.1,17829327,3943.37,ROU,642
Serbia,Europe,1957,61.685,7271135,4981.091,SRB,688
Slovak Republic,Europe,1957,67.45,3844277,6093.263,SVK,703
Slovenia,Europe,1957,67.85,1533070,5862.277,SVN,705
Spain,Europe,1957,66.66,29841614,4564.802,ESP,724
Sweden,Europe,1957,72.49,7363802,9911.878,SWE,752
Switzerland,Europe,1957,70.56,5126000,17909.49,CHE,756
Turkey,Europe,1957,48.079,25670939,2218.754,TUR,792
United Kingdom,Europe,1957,70.42,51430000,11283.178,GBR,826
Australia,Oceania,1957,70.33,9712569,10949.65,AUS,36
New Zealand,Oceania,1957,70.26,2229407,12247.395,NZL,554
Algeria,Africa,1962,48.303,11000948,2550.817,DZA,12
Angola,Africa,1962,34.0,4826015,4269.277,AGO,24
Benin,Africa,1962,42.618,2151895,949.499,BEN,204
Botswana,Africa,1962,51.52,512764,983.654,BWA,72
Burkina Faso,Africa,1962,37.814,4919632,722.512,BFA,854
Burundi,Africa,1962,42.045,2961915,355.203,BDI,108
Cameroon,Africa,1962,42.643,5793633,1399.607,CMR,120
Central African Republic,Africa,1962,39.475,1523478,1193.069,CAF,140
Chad,Africa,1962,41.716,3150417,1389.818,TCD,148
Comoros,Africa,1962,44.467,191689,1406.648,COM,174
"Congo, Dem. Rep.",Africa,1962,42.122,17486434,896.315,COD,180
"Congo, Rep.",Africa,1962,48.435,1047924,2464.783,COG,178
Cote d'Ivoire,Africa,1962,44.93,3832408,1728.869,CIV,384
Djibouti,Africa,1962,39.693,89898,3020.989,DJI,262
Egypt,Africa,1962,46.992,28173309,1693.336,EGY,818
Equatorial Guinea,Africa,1962,37.485,249220,582.842,GNQ,226
Eritrea,Africa,1962,40.158,1666618,380.996,ERI,232
Ethiopia,Africa,1962,40.059,25145372,419.456,ETH,231
Gabon,Africa,1962,40.489,455661,6631.459,GAB,266
Gambia,Africa,1962,33.896,374020,599.65,GMB,270
Ghana,Africa,1962,46.452,7355248,1190.041,GHA,288
Guinea,Africa,1962,35.753,3140003,686.374,GIN,324
Guinea-Bissau,Africa,1962,34.488,627820,522.034,GNB,624
Kenya,Africa,1962,47.949,8678557,896.966,KEN,404
Lesotho,Africa,1962,47.747,893143,411.801,LSO,426
Liberia,Africa,1962,40.502,1112796,634.195,LBR,430
Libya,Africa,1962,47.808,1441863,6757.031,LBY,434
Madagascar,Africa,1962,40.848,5703324,1643.387,MDG,450
Malawi,Africa,1962,38.41,3628608,427.901,MWI,454
Mali,Africa,1962,36.936,4690372,496.174,MLI,466
Mauritania,Africa,1962,44.248,1146757,1055.896,MRT,478
Mauritius,Africa,1962,60.246,701016,2529.067,MUS,480
Morocco,Africa,1962,47.924,13056604,1566.353,MAR,504
Mozambique,Africa,1962,36.161,7788944,556.686,MOZ,508
Namibia,Africa,1962,48.386,621392,3173.216,NAM,516
Niger,Africa,1962,39.487,4076008,997.766,NER,562
Nigeria,Africa,1962,39.36,41871351,1150.927,NGA,566
Reunion,Africa,1962,57.666,358900,3173.723,REU,638
Rwanda,Africa,1962,43.0,3051242,597.473,RWA,646
Sao Tome and Principe,Africa,1962,51.893,65345,1071.551,STP,678
Senegal,Africa,1962,41.454,3430243,1654.989,SEN,686
Sierra Leone,Africa,1962,32.767,2467895,1116.64,SLE,694
Somalia,Africa,1962,36.981,3080153,1369.488,SOM,706
South Africa,Africa,1962,49.951,18356657,5768.73,ZAF,710
Sudan,Africa,1962,40.87,11183227,1959.594,SDN,736
Swaziland,Africa,1962,44.992,370006,1856.182,SWZ,748
Tanzania,Africa,1962,44.246,10863958,722.004,TZA,834
Togo,Africa,1962,43.922,1528098,1067.535,TGO,768
Tunisia,Africa,1962,49.579,4286552,1660.303,TUN,788
Uganda,Africa,1962,45.344,7688797,767.272,UGA,800
Zambia,Africa,1962,46.023,3421000,1452.726,ZMB,894
Zimbabwe,Africa,1962,52.358,4277736,527.272,ZWE,716
Argentina,Americas,1962,65.142,21283783,7133.166,ARG,32
Bolivia,Americas,1962,43.428,3593918,2180.973,BOL,68
Brazil,Americas,1962,55.665,76039390,3336.586,BRA,76
Canada,Americas,1962,71.3,18985849,13462.486,CAN,124
Chile,Americas,1962,57.924,7961258,4519.094,CHL,152
Colombia,Americas,1962,57.863,17009885,2492.351,COL,170
Costa Rica,Americas,1962,62.842,1345187,3460.937,CRI,188
Cuba,Americas,1962,65.246,7254373,5180.756,CUB,192
Dominican Republic,Americas,1962,53.459,3453434,1662.137,DOM,214
Ecuador,Americas,1962,54.64,4681707,4086.114,ECU,218
El Salvador,Americas,1962,52.307,2747687,3776.804,SLV,222
Guatemala,Americas,1962,46.954,4208858,2750.364,GTM,320
Haiti,Americas,1962,43.59,3880130,1796.589,HTI,332
Honduras,Americas,1962,48.041,2090162,2291.157,HND,340
Jamaica,Americas,1962,65.61,1665128,5246.108,JAM,388
Mexico,Americas,1962,58.299,41121485,4581.609,MEX,484
Nicaragua,Americas,1962,48.632,1590597,3634.364,NIC,558
Panama,Americas,1962,61.817,1215725,3536.54,PAN,591
Paraguay,Americas,1962,64.361,2009813,2148.027,PRY,600
Peru,Americas,1962,49.096,10516500,4957.038,PER,604
Puerto Rico,Americas,1962,69.62,2448046,5108.345,PRI,630
Trinidad and Tobago,Americas,1962,64.9,887498,4997.524,TTO,780
United States,Americas,1962,70.21,186538000,16173.146,USA,840
Uruguay,Americas,1962,68.253,2598466,5603.358,URY,858
Venezuela,Americas,1962,60.77,8143375,8422.974,VEN,862
Afghanistan,Asia,1962,31.997,10267083,853.101,AFG,4
Bahrain,Asia,1962,56.923,171863,12753.275,BHR,48
Bangladesh,Asia,1962,41.216,56839289,686.342,BGD,50
Cambodia,Asia,1962,43.415,6083619,496.914,KHM,116
China,Asia,1962,44.501,665770000,487.674,CHN,156
"Hong Kong, China",Asia,1962,67.65,3305200,4692.648,HKG,344
India,Asia,1962,43.605,454000000,658.347,IND,356
Indonesia,Asia,1962,42.518,99028000,849.29,IDN,360
Iran,Asia,1962,49.325,22874000,4187.33,IRN,364
Iraq,Asia,1962,51.457,7240260,8341.738,IRQ,368
Israel,Asia,1962,69.39,2310904,7105.631,ISR,376
Japan,Asia,1962,68.73,95831757,6576.649,JPN,392
Jordan,Asia,1962,48.126,933559,2348.009,JOR,400
"Korea, Dem. Rep.",Asia,1962,56.656,10917494,1621.694,KOR,410
"Korea, Rep.",Asia,1962,55.292,26420307,1536.344,KOR,410
Kuwait,Asia,1962,60.47,358266,95458.112,KWT,414
Lebanon,Asia,1962,62.094,1886848,5714.561,LBN,422
Malaysia,Asia,1962,55.737,8906385,2036.885,MYS,458
Mongolia,Asia,1962,48.251,1010280,1056.354,MNG,496
Myanmar,Asia,1962,45.108,23634436,388.0,MMR,104
Nepal,Asia,1962,39.393,10332057,652.397,NPL,524
Oman,Asia,1962,43.165,628164,2924.638,OMN,512
Pakistan,Asia,1962,47.67,53100671,803.343,PAK,586
Philippines,Asia,1962,54.757,30325264,1649.552,PHL,608
Saudi Arabia,Asia,1962,45.914,4943029,11626.42,SAU,682
Singapore,Asia,1962,65.798,1750200,3674.736,SGP,702
Sri Lanka,Asia,1962,62.192,10421936,1074.472,LKA,144
Syria,Asia,1962,50.305,4834621,2193.037,SYR,760
Taiwan,Asia,1962,65.2,11918938,1822.879,TWN,158
Thailand,Asia,1962,56.061,29263397,1002.199,THA,764
Vietnam,Asia,1962,45.363,33796140,772.049,VNM,704
West Bank and Gaza,Asia,1962,48.127,1133134,2198.956,PSE,275
"Yemen, Rep.",Asia,1962,35.18,6120081,825.623,YEM,887
Albania,Europe,1962,64.82,1728137,2312.889,ALB,8
Austria,Europe,1962,69.54,7129864,10750.721,AUT,40
Belgium,Europe,1962,70.25,9218400,10991.207,BEL,56
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.684,BIH,70
Bulgaria,Europe,1962,69.51,8012946,4254.338,BGR,100
Croatia,Europe,1962,67.13,4076557,5477.89,HRV,191
Czech Republic,Europe,1962,69.9,9620282,10136.867,CZE,203
Denmark,Europe,1962,72.35,4646899,13583.314,DNK,208
Finland,Europe,1962,68.75,4491443,9371.843,FIN,246
France,Europe,1962,70.51,47124000,10560.486,FRA,250
Germany,Europe,1962,70.3,73739117,12902.463,DEU,276
Greece,Europe,1962,69.51,8448233,6017.191,GRC,300
Hungary,Europe,1962,67.96,10063000,7550.36,HUN,348
Iceland,Europe,1962,73.68,182053,10350.159,ISL,352
Ireland,Europe,1962,70.29,2830000,6631.597,IRL,372
Italy,Europe,1962,69.24,50843200,8243.582,ITA,380
Montenegro,Europe,1962,63.728,474528,4649.594,MNE,499
Netherlands,Europe,1962,73.23,11805689,12790.85,NLD,528
Norway,Europe,1962,73.47,3638919,13450.402,NOR,578
Poland,Europe,1962,67.64,30329617,5338.752,POL,616
Portugal,Europe,1962,64.39,9019800,4727.955,PRT,620
Romania,Europe,1962,66.8,18680721,4734.998,ROU,642
Serbia,Europe,1962,64.531,7616060,6289.629,SRB,688
Slovak Republic,Europe,1962,70.33,4237384,7481.108,SVK,703
Slovenia,Europe,1962,69.15,1582962,7402.303,SVN,705
Spain,Europe,1962,69.69,31158061,5693.844,ESP,724
Sweden,Europe,1962,73.37,7561588,12329.442,SWE,752
Switzerland,Europe,1962,71.32,5666000,20431.093,CHE,756
Turkey,Europe,1962,52.098,29788695,2322.87,TUR,792
United Kingdom,Europe,1962,70.76,53292000,12477.177,GBR,826
Australia,Oceania,1962,70.93,10794968,12217.227,AUS,36
New Zealand,Oceania,1962,71.24,2488550,13175.678,NZL,554
Algeria,Africa,1967,51.407,12760499,3246.992,DZA,12
Angola,Africa,1967,35.985,5247469,5522.776,AGO,24
Benin,Africa,1967,44.885,2427334,1035.831,BEN,204
Botswana,Africa,1967,53.298,553541,1214.709,BWA,72
Burkina Faso,Africa,1967,40.697,5127935,794.827,BFA,854
Burundi,Africa,1967,43.548,3330989,412.978,BDI,108
Cameroon,Africa,1967,44.799,6335506,1508.453,CMR,120
Central African Republic,Africa,1967,41.478,1733638,1136.057,CAF,140
Chad,Africa,1967,43.601,3495967,1196.811,TCD,148
Comoros,Africa,1967,46.472,217378,1876.03,COM,174
"Congo, Dem. Rep.",Africa,1967,44.056,19941073,861.593,COD,180
"Congo, Rep.",Africa,1967,52.04,1179760,2677.94,COG,178
Cote d'Ivoire,Africa,1967,47.35,4744870,2052.05,CIV,384
Djibouti,Africa,1967,42.074,127617,3020.051,DJI,262
Egypt,Africa,1967,49.293,31681188,1814.881,EGY,818
Equatorial Guinea,Africa,1967,38.987,259864,915.596,GNQ,226
Eritrea,Africa,1967,42.189,1820319,468.795,ERI,232
